,0
788,121882.10959000002
789,123092.83959
790,122847.24959000002
791,123185.90959000001
792,122704.15959000001
793,122704.15959000001
794,122704.15959000001
795,123545.47959
796,123105.54959000001
797,123455.27959
798,123691.84959000001
799,124194.50959000002
800,124194.50959000002
801,124194.50959000002
802,124886.17959000001
803,124782.44959
804,125187.52959
805,124809.91959
806,126013.26959000001
807,126013.26959000001
808,126013.26959000001
809,126479.02959
810,126329.37959000001
811,126417.93959000002
812,126762.33959
813,127086.23959000001
814,127086.23959000001
815,127086.23959000001
816,126837.36959000002
817,127035.39959000002
818,127125.59959000001
819,127231.78959000001
820,128208.81959000001
821,128208.81959000001
822,128208.81959000001
823,128273.18959000002
824,128197.33959
825,127716.81959000001
826,127515.09959000001
827,127791.84959000001
828,127791.84959000001
829,127791.84959000001
830,128749.19959
831,129031.27959
832,129568.78959000001
833,129568.78959000001
834,129050.13959000002
835,129050.13959000002
836,129050.13959000002
837,127938.62959000001
838,127091.15959000001
839,127893.11959000002
840,128084.58959
841,129252.26959000001
842,129252.26959000001
843,129252.26959000001
844,128844.31959000001
845,128703.27959
846,129076.78959000001
847,130181.32959000002
848,130190.75959000002
849,130190.75959000002
850,130190.75959000002
851,131119.40959
852,131163.27959
853,131106.69959
854,131690.12959
855,132339.97959
856,132339.97959
857,132339.97959
858,132454.36959000002
859,132428.53959000003
860,132428.53959000003
861,133106.26959
862,133110.77959000002
863,133110.77959000002
864,133110.77959000002
865,132342.84959
866,132731.93959000002
867,132731.93959000002
868,133841.80959000002
869,132898.80959000002
870,132898.80959000002
871,132898.80959000002
872,133367.43959000002
873,132994.33959000002
874,133645.00959000003
875,134532.65959
876,134149.30959000002
877,134149.30959000002
878,134149.30959000002
879,135083.28959000003
880,134879.10959
881,135130.84959
882,136259.16959
883,136784.37959
884,136784.37959
885,136784.37959
886,136784.37959
887,136422.34959
888,136461.70959
889,136617.09959
890,135384.22959
891,135384.22959
892,135384.22959
893,133258.78959000003
894,134595.79959
895,134479.35959
896,134900.01959
897,132516.27959000002
898,132516.27959000002
899,132516.27959000002
900,133475.67959
901,135471.14959000002
902,136992.24959000002
903,137446.93959000002
904,136706.06959000003
905,136706.06959000003
906,136706.06959000003
907,137705.64959000002
908,137937.70959
909,138827.40959
910,138601.49959000002
911,138856.51959
912,138856.51959
913,138856.51959
914,138856.51959
915,138451.84959
916,139102.10959
917,138572.38959
918,137117.70959
919,137117.70959
920,137117.70959
921,132531.44959
922,128526.56959000001
923,128041.94959
924,122399.11959000002
925,121392.97959
926,121392.97959
927,121392.97959
928,126969.38959000002
929,123408.12959000001
930,128604.87959000001
931,124251.49959000002
932,122137.12959000001
933,122137.12959000001
934,122137.12959000001
935,112878.91959
936,118441.38959000002
937,112666.53959000001
938,101976.19959
939,111421.77959
940,111421.77959
941,111421.77959
942,98101.28959000001
943,103966.74959000002
944,98592.05959
945,99054.94959
946,94771.67959000001
947,94771.67959000001
948,94771.67959000001
949,92003.35959000002
950,100610.48959000001
951,101767.91959
952,108102.82959000002
953,104470.22959
954,104470.22959
955,104470.22959
956,107962.60959000002
957,106238.14959000002
958,101560.45959000001
959,103872.85959000002
960,102304.60959000002
961,102304.60959000002
962,102304.60959000002
963,109480.83959
