Date,Open,High,Low,Close,correlation
2022-01-25,4366.64,4411.01,4287.11,4356.45,0.9433045252971087
2022-01-26,4408.43,4453.23,4304.8,4349.93,0.9235295280168869
2022-01-27,4380.58,4428.74,4309.5,4326.51,0.890058063500425
2022-01-28,4336.19,4432.72,4292.46,4431.85,0.8777489197801467
2022-01-29,4336.19,4432.72,4292.46,4431.85,0.8390031832836949
2022-01-30,4336.19,4432.72,4292.46,4431.85,0.7383052396327666
2022-01-31,4431.79,4516.89,4414.02,4515.55,0.5535953898430372
2022-02-01,4519.57,4550.49,4483.53,4546.54,0.3518205753012974
2022-02-02,4566.39,4595.31,4544.32,4589.38,0.63694491409041
2022-02-03,4535.41,4542.88,4470.39,4477.44,0.7030684468043688
2022-02-04,4482.79,4539.66,4451.5,4500.53,0.700074804846004
2022-02-05,4482.79,4539.66,4451.5,4500.53,0.6869644431225593
2022-02-06,4482.79,4539.66,4451.5,4500.53,0.6767085684815862
2022-02-07,4505.75,4521.86,4471.47,4483.87,0.6332704419733809
2022-02-08,4480.02,4531.32,4465.4,4521.54,0.5775420019393998
2022-02-09,4547.0,4590.03,4547.0,4587.18,0.4507988322223098
2022-02-10,4553.24,4588.92,4484.31,4504.08,0.27189330966984254
2022-02-11,4506.27,4526.33,4401.41,4418.64,0.14884652971094878
2022-02-12,4506.27,4526.33,4401.41,4418.64,0.015959102348160226
2022-02-13,4506.27,4526.33,4401.41,4418.64,-0.2327301557754649
2022-02-14,4412.61,4426.22,4364.84,4401.67,-0.2818793281961169
2022-02-15,4429.28,4472.77,4429.28,4471.07,-0.11424029432799906
2022-02-16,4455.75,4489.55,4429.68,4475.01,-0.05896533120342769
2022-02-17,4456.06,4456.06,4373.81,4380.26,0.16039761331046884
2022-02-18,4384.57,4394.6,4327.22,4348.87,0.38094483988841843
2022-02-19,4384.57,4394.6,4327.22,4348.87,0.4857114055366577
2022-02-20,4384.57,4394.6,4327.22,4348.87,0.5235387071515628
2022-02-21,4384.57,4394.6,4327.22,4348.87,0.5612303534987606
2022-02-22,4332.74,4362.12,4267.11,4304.76,0.564638974046233
2022-02-23,4324.93,4341.51,4221.51,4225.5,0.5082629499571539
2022-02-24,4155.77,4294.73,4114.65,4288.7,0.4678049338323068
2022-02-25,4298.38,4385.34,4286.83,4384.65,0.428359618928509
2022-02-26,4298.38,4385.34,4286.83,4384.65,0.40612496249408503
2022-02-27,4298.38,4385.34,4286.83,4384.65,0.3559789328291001
2022-02-28,4354.17,4388.84,4315.12,4373.94,0.3210180515978243
2022-03-01,4363.14,4378.45,4279.54,4306.26,0.16678429404097148
2022-03-02,4322.56,4401.48,4322.56,4386.54,0.08803354588383058
2022-03-03,4401.31,4416.78,4345.56,4363.49,0.059622495153155555
2022-03-04,4342.12,4342.12,4284.98,4328.87,0.08952757147047634
2022-03-05,4342.12,4342.12,4284.98,4328.87,0.12574365780200153
2022-03-06,4342.12,4342.12,4284.98,4328.87,0.1450409724805648
2022-03-07,4327.01,4327.01,4199.85,4201.09,0.12110644845678348
2022-03-08,4202.66,4276.94,4157.87,4170.7,0.20122831334237348
2022-03-09,4223.1,4299.4,4223.1,4277.88,0.28873320084006115
2022-03-10,4252.55,4268.28,4209.8,4259.52,0.34949566800227316
2022-03-11,4279.5,4291.01,4200.49,4204.31,0.4667723832235436
2022-03-12,4279.5,4291.01,4200.49,4204.31,0.41213305732099903
2022-03-13,4279.5,4291.01,4200.49,4204.31,0.2724705708664942
2022-03-14,4202.75,4247.57,4161.72,4173.11,-0.1471520796230838
2022-03-15,4188.82,4271.05,4187.9,4262.45,-0.2582193749944122
2022-03-16,4288.14,4358.9,4251.99,4357.86,0.06245996609455835
2022-03-17,4345.11,4412.67,4335.65,4411.67,0.33433556313817087
2022-03-18,4407.34,4465.4,4390.57,4463.12,0.5014336238624858
2022-03-19,4407.34,4465.4,4390.57,4463.12,0.6628873940585658
